cpu,detail_buf,detail_code,detail_count,detail_dest_node,detail_dest_proc,detail_dest_thread,detail_file,detail_flags,detail_frompid,detail_gid_writer,detail_i_mode,detail_inode,detail_k__dev,detail_kgid,detail_kuid,detail_len,detail_msg,detail_pathname,detail_reply,detail_s_dev_inode,detail_sock,detail_topid,detail_transaction,detail_uid_inode,detail_uid_writer,event,flags,process,raw,tgid,tid,timestamp
7,12970367426014426329,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,100,8577,8577,2900937.475374
7,12970367426014421368,,2,,,,18446743526730663808,,,1376326,33188,17637523,0,,,,,enable,,11,,,,0,2000,write_probe,d..1.,cleaned_trace_s,101,8577,8577,2900937.475427
7,12970367426014421368,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,102,8577,8577,2900937.475741
7,12970367426014421369,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,103,8577,8577,2900937.475748
7,12970367426014421370,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,104,8577,8577,2900937.475753
7,12970367426014421371,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,105,8577,8577,2900937.475761
7,12970367426014421372,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,106,8577,8577,2900937.475766
7,12970367426014421373,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,107,8577,8577,2900937.47577
7,12970367426014421374,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,108,8577,8577,2900937.475773
7,12970367426014421375,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,109,8577,8577,2900937.475776
7,12970367426014421376,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,110,8577,8577,2900937.475779
7,12970367426014421377,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,111,8577,8577,2900937.475782
7,12970367426014421378,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,112,8577,8577,2900937.475786
7,12970367426014421379,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,113,8577,8577,2900937.47579
7,12970367426014421380,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,114,8577,8577,2900937.475793
7,12970367426014421381,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,115,8577,8577,2900937.475797
7,12970367426014421382,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,116,8577,8577,2900937.475801
